lead_id,company,domain,decision_maker_name,decision_maker_title,signal_family,signal_summary,observed_date,score,tier,top_reasons,public_channel
awfis-2026-04,Awfis,awfis.com,Amit Ramani,Founder Chairman and MD,funding-change,Post-IPO expansion; 3x Sales Manager openings Mumbai and Pune,2026-03-28,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://in.linkedin.com/in/amit-ramani1504
indiqube-2026-04,IndiQube,indiqube.com,Rishi Das,Co-founder and CEO,funding-change,DRHP filing; sales staffing BLR and Chennai,2026-04-02,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://in.linkedin.com/in/rishi-das-cofounder-indiqube
wework-2026-04,WeWork India,wework.co.in,Karan Virwani,Managing Director and CEO,funding-change,Embassy full buyout; Community and CX lead hiring,2026-03-30,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://in.linkedin.com/in/karanvirwani
sqy-2026-04,Square Yards,squareyards.com,Tanuj Shori,Founder and CEO,funding-change,$35M raise; 2026 IPO plan; MEA and SEA channel hiring,2026-04-01,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://www.linkedin.com/in/tanuj-shori-420b402/
settl-2026-04,Settl,settl.in,Bharath Bhaskar,Co-founder,funding-change,Series-A close; Hyderabad and BLR inventory push,2026-04-03,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://www.linkedin.com/in/bharathbhaskar/
signatureglobal-2026-04,Signature Global,signatureglobal.in,Pradeep Aggarwal,Founder and Chairman,funding-change,"₹1,283 Cr RMZ JV; multiple Gurgaon launches",2026-04-04,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://www.linkedin.com/in/pradeep-aggarwal/
smartworks-2026-04,Smartworks,smartworks.in,Neetish Sarda,Founder and MD,funding-change,IPO plan; 63 centres across 15 cities,2026-03-27,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://in.linkedin.com/in/neetish-sarda-99183a10b
innov8-2026-04,Innov8,innov8.work,Ritesh Malik,Founder and CEO,funding-change,₹110 Cr stake sale; coworking category consolidation,2026-04-11,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://in.linkedin.com/in/drriteshmalik
mahindra-2026-04,Mahindra Lifespaces,mahindralifespaces.com,Amit Kumar Sinha,Managing Director and CEO,funding-change,₹45k Cr GDV guidance; hiring surge,2026-04-02,100.0,A,"multiple fresh signals: funding-change, hiring | decision-maker + public channel + recent activity",https://in.linkedin.com/in/amitkumarsinha5
tarc-2026-04,TARC Ltd,tarc.in,Amar Sarin,CEO and Managing Director,hiring,Tripundra launch; NCR luxury positioning; sales ramp,2026-04-08,100.0,A,"multiple fresh signals: hiring, funding-change | decision-maker + public channel + recent activity",https://in.linkedin.com/in/amar-sarin-40ab5236a
infoedge-2026-04,Info Edge (99acres),infoedge.in,Hitesh Oberoi,Managing Director and CEO,tool-churn,30-year AMA on AI disruption; 99acres broker-side ramp,2026-04-12,100.0,A,"multiple fresh signals: tool-churn, funding-change | +10 high-leverage family bonus | decision-maker + public channel + recent activity",https://in.linkedin.com/in/hitesh-oberoi-131a9a32
dlf-2026-04,DLF,dlf.in,Gaurav Chhabra,Senior Vice President Sales,hiring,Hiring Sales CRM and tele-calling leads; Privana and Camellias launch spike,2026-04-10,97.0,A,"multiple fresh signals: hiring, funding-change | title not in persona list | decision-maker + public channel + recent activity",https://in.linkedin.com/in/gaurav-chhabra
magicbricks-2026-04,Magicbricks,magicbricks.com,Sudhir Pai,Chief Executive Officer,funding-change,2-3 year IPO plan; growth-segment maturation,2026-04-09,97.0,A,"multiple fresh signals: funding-change, tool-churn | +10 high-leverage family bonus | title not in persona list",https://in.linkedin.com/in/sudhirpai
nobroker-2026-04,NoBroker,nobroker.in,Amit Kumar Agarwal,Founder and CEO,hiring,Continuous tele-caller hiring in BLR; Q4 home-services push,2026-04-05,80.0,A,hiring signal on 2026-04-05 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/amit-kumar-agarwal-5b30301
stanza-2026-04,Stanza Living,stanzaliving.com,Sandeep Dalmia,Co-founder,hiring,Gurugram and Hyderabad inventory scale-up; resident-experience role postings,2026-04-08,80.0,A,hiring signal on 2026-04-08 | decision-maker + public channel + recent activity,https://www.linkedin.com/in/sandeepdalmia/
colive-2026-04,Colive,colive.com,Suresh Rangarajan,Founder and CEO,funding-change,Scale to ~60k beds; CRE-arm announcement,2026-03-25,80.0,A,funding-change signal on 2026-03-25 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/sureshrangaraj
godrej-2026-04,Godrej Properties,godrejproperties.com,Gaurav Pandey,Managing Director and CEO,funding-change,Record FY25 land acquisitions; multi-city launch pipeline,2026-03-20,80.0,A,funding-change signal on 2026-03-20 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/iamgauravpandey
prestige-2026-04,Prestige Estates,prestigeconstructions.com,Irfan Razack,Chairman and Managing Director,funding-change,NCR Dwarka Expressway entry; ₹18k Cr launch guidance,2026-03-22,80.0,A,funding-change signal on 2026-03-22 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/irfan-razack-844a78114
sobha-2026-04,Sobha,sobha.com,Jagadish Nangineni,Managing Director,funding-change,Dubai expansion; HNI campaign spend,2026-03-24,80.0,A,funding-change signal on 2026-03-24 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/jagadish-nangineni-9bb9b41
zolo-2026-04,Zolo Stays,zolostays.com,Nikhil Sikri,Co-founder and CEO,hiring,Multi-city bed expansion; ops-head hiring,2026-04-06,80.0,A,hiring signal on 2026-04-06 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/dr-nikhil-sikri
